jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
13482,151.3,105,49.89,90%,52%,44%
15328,42,66,23.65,90%,64%,36%
37345,45,51,17.92,90%,65%,12%
13051,27.5,51,17.86,90%,65%,46%
25691,3,2,3.38,90%,69%,50%
20257,15,16,4.28,90%,73%,6%
24528,28,3,0.54,90%,82%,833%
33720,7.5,34,4.86,90%,86%,78%
31901,56.65,39,4.65,90%,88%,45%
28102,55.5,16,76.62,90%,379%,247%
29740,22,58,66.07,91%,14%,62%
14712,5,11,9.26,91%,16%,55%
9423,114,39,32.45,91%,17%,192%
39865,13.5,14,11.41,91%,19%,4%
37195,9,7,4.52,91%,35%,29%
10374,8,196,265.81,91%,36%,96%
23542,11.5,12,17.26,91%,44%,4%
11001,45,24,11.93,91%,50%,88%
30277,15,20,9.83,91%,51%,25%
7696,60,51,24.09,91%,53%,18%
26696,3.85,12,5.48,91%,54%,68%
24598,40,47,8.52,91%,82%,15%
16103,45,2,3.73,91%,87%,2150%
24086,28,29,3.51,91%,88%,3%
45959,7,6,0.6,91%,90%,17%
29196,70,69,6.16,91%,91%,1%
23988,65,115,6.01,91%,95%,43%
34076,7.5,2,4.31,91%,116%,275%
10438,5,13,51.59,91%,297%,62%
12742,28,8,8.13,92%,2%,250%
16415,12,6,6.2,92%,3%,100%
45362,6,5,4.45,92%,11%,20%
3216,17,7,8.29,92%,18%,143%
24122,24,12,9.36,92%,22%,100%
44692,6,6,7.34,92%,22%,0%
35395,40,10,12.64,92%,26%,300%
35619,30,7,4.79,92%,32%,329%
6706,25.5,24,16.06,92%,33%,6%
7834,6,17,11.31,92%,33%,65%
26796,69.65,8,10.76,92%,35%,771%
18845,22.5,44,28.15,92%,36%,49%
45609,8,8,10.95,92%,37%,0%
8303,62.77,112,65.75,92%,41%,44%
30679,35,22,12.88,92%,41%,59%
31047,68,80,41.55,92%,48%,15%
41145,60,57,28.64,92%,50%,5%
36687,24,11,5.1,92%,54%,118%
29915,20,12,5.24,92%,56%,67%
16242,13,9,3.83,92%,57%,44%
37344,27,25,10.48,92%,58%,8%
13535,27.65,26,9.85,92%,62%,6%
13902,97.5,60,19.42,92%,68%,63%
38509,10,13,3.47,92%,73%,23%
40338,48,44,11.69,92%,73%,9%
18683,5,2,3.5,92%,75%,150%
36435,20,44,9.3,92%,79%,55%
5848,204,31,1.03,92%,97%,558%
23075,7,7,0,92%,100%,0%
38358,19.5,18,17.19,93%,4%,8%
21188,12,9,8.24,93%,8%,33%
28698,5,5,4.12,93%,18%,0%
30373,35.24,44,34.5,93%,22%,20%
24454,150,5,3.84,93%,23%,2900%
5178,16,21,25.9,93%,23%,24%
15349,28.15,38,47.44,93%,25%,26%
13407,15,7,8.98,93%,28%,114%
45389,44,6,7.74,93%,29%,633%
13835,56,194,250.29,93%,29%,71%
38561,51.65,39,24.42,93%,37%,32%
43919,14,19,11.29,93%,41%,26%
39378,62.5,19,11.01,93%,42%,229%
36797,24,9,5.13,93%,43%,167%
1012,18,36,19.97,93%,45%,50%
15712,41.6,29,16.08,93%,45%,43%
6559,37.5,29,15.15,93%,48%,29%
4991,9,5,7.43,93%,49%,80%
37272,11,21,9.32,93%,56%,48%
3749,37.5,26,10.51,93%,60%,44%
45292,16,16,6.32,93%,61%,0%
27278,23,27,8.38,93%,69%,15%
35096,7.5,26,7.68,93%,70%,71%
7695,17.95,54,92.55,93%,71%,67%
43632,7.5,37,10,93%,73%,80%
33498,68,28,7.47,93%,73%,143%
33464,55.5,66,114.8,93%,74%,16%
34977,5.86,8,2.08,93%,74%,27%
23771,48,8,1.9,93%,76%,500%
23694,37,267,61.15,93%,77%,86%
46955,6,34,5.95,93%,83%,82%
26181,99,7,1.03,93%,85%,1314%
33331,29,16,2.16,93%,87%,81%
6366,34.5,363,42.63,93%,88%,90%
2163,46.5,54,4.4,93%,92%,14%
28721,120,25,1.42,93%,94%,380%
7762,60,16,33.16,93%,107%,275%
44340,3.41,3,6.8,93%,127%,14%
12313,4,4,12.64,93%,216%,0%
22707,105,22,78.54,93%,257%,377%
21576,21,2,19.32,93%,866%,950%
11454,24,156,153.29,94%,2%,85%
23975,7.5,9,8.74,94%,3%,17%
43192,12.51,9,8.54,94%,5%,39%
3028,5,10,9.07,94%,9%,50%
7959,80,20,17.44,94%,13%,300%
29644,110.65,14,11.9,94%,15%,690%
29702,25,30,34.62,94%,15%,17%
11510,840,189,159.49,94%,16%,344%
